color_name,hex,r,g,b,L_,a_,b_
Coral,#d27979,210,121,121,60.56929876,34.6093623,15.20423825
Tan,#d2a679,210,166,121,71.11636555,10.30955952,29.45531634
Straw,#d2d279,210,210,121,82.47364631,-12.71316307,43.98236914
Sprout,#79d279,121,210,121,77.00303737,-44.61752486,35.92141067
Aquamarine,#79d2b5,121,210,181,78.16439687,-33.48506059,6.062533261
Sky,#79b5d2,121,181,210,70.70745314,-11.85161284,-20.71576101
Nebula,#7979d2,121,121,210,54.43987895,22.40906546,-45.98902778
Lavender,#b579d2,181,121,210,60.02595961,39.09786837,-36.81411544
Orchid,#d279b5,210,121,181,62.26626804,42.74351336,-16.67111596
Red,#ff0000,255,0,0,53.24058794,80.09230823,67.20275104
Orange,#ff8000,255,128,0,67.05480068,42.82538181,74.01745855
Yellow,#ffff00,255,255,0,97.13950704,-21.55468102,94.47812228
Lime,#00ff00,0,255,0,87.73509949,-86.18302974,83.17970318
Spring,#00ffaa,0,255,170,89.11921451,-69.23164774,26.82021633
Cerulean,#00aaff,0,170,255,66.49297686,-6.236114184,-52.05625544
Blue,#0000ff,0,0,255,32.29567257,79.18559091,-107.8573002
Violet,#aa00ff,170,0,255,46.66571635,86.97658082,-83.60101626
Pink,#ff00aa,255,0,170,56.25574101,88.09706327,-18.81630388
Maroon,#800000,128,0,0,25.53540727,48.04503746,38.0571051
Chocolate,#804000,128,64,0,34.51312602,23.97200338,44.81470374
Olive,#808000,128,128,0,51.86908724,-12.93002387,56.67466732
Green,#008000,0,128,0,46.2276577,-51.69868348,49.89707556
Emerald,#008055,0,128,85,47.09636425,-41.09004388,15.06379607
Sapphire,#005580,0,85,128,34.09608825,-4.931236343,-30.26106567
Navy,#000080,0,0,128,12.97116401,47.50112421,-64.70044557
Indigo,#550080,85,0,128,21.90741298,52.40448477,-49.6194269
Raspberry,#800055,128,0,85,27.42531533,53.05599814,-12.40903535
Leather,#592626,89,38,38,22.48092531,23.49683666,11.33422862
Earth,#594026,89,64,38,29.23777138,7.395843757,20.0657171
Soldier,#595926,89,89,38,36.75973997,-7.905135216,29.08061711
Moss,#265926,38,89,38,33.34252526,-28.88360679,24.20084943
Summer,#265948,38,89,72,34.03332234,-21.78893386,4.697695806
Slate,#264859,38,72,89,28.81849559,-6.85228526,-13.86300595
Midnight,#262659,38,38,89,18.00573198,16.45511854,-30.8805267
Twilight,#482659,72,38,89,21.89112039,26.10237612,-24.449211
Grape,#592648,89,38,72,23.59985091,28.20476048,-10.21689413
Black,#3b3b3b,59,59,59,25,0,0
Gray,#808080,128,128,128,53.39,0,0
